FIELD,YEAR,PLAYER,RANK,CHANGE,SPEC_SCORE,COUNTRY,BIRTH_YEAR
CHESS,2019,"Carlsen, Magnus",1,,2872,NOR,1990
CHESS,2019,"Caruana, Fabiano",2,,2822,USA,1992
CHESS,2019,"Ding, Liren",3,,2801,CHN,1992
CHESS,2019,"Vachier-Lagrave, Maxime",4,,2780,FRA,1990
CHESS,2019,"Grischuk, Alexander",5,,2777,RUS,1983
CHESS,2019,"Aronian, Levon",6,,2775,ARM,1982
CHESS,2019,"Mamedyarov, Shakhriyar",7,,2772,AZE,1985
CHESS,2019,"Giri, Anish",8,,2769,NED,1994
CHESS,2019,"Nepomniachtchi, Ian",9,,2767,RUS,1990
CHESS,2019,"Radjabov, Teimour",10,,2765,AZE,1987
CHESS,2019,"So, Wesley",11,,2760,USA,1993
CHESS,2019,"Duda, Jan-Krzysztof",12,,2758,POL,1998
CHESS,2019,"Dominguez Perez, Leinier",13,,2758,USA,1983
CHESS,2019,"Rapport, Richard",14,,2758,HUN,1996
CHESS,2019,"Anand, Viswanathan",15,,2757,IND,1969
CHESS,2019,"Wang, Hao",16,,2756,CHN,1989
CHESS,2019,"Karjakin, Sergey",17,,2754,RUS,1990
CHESS,2019,"Kramnik, Vladimir",18,,2753,RUS,1975
CHESS,2019,"Vitiugov, Nikita",19,,2747,RUS,1987
CHESS,2019,"Yu, Yangyi",20,,2738,CHN,1994
CHESS,2019,"Topalov, Veselin",21,,2737,BUL,1975
CHESS,2019,"Nakamura, Hikaru",22,,2736,USA,1987
CHESS,2019,"Artemiev, Vladislav",23,,2731,RUS,1998
CHESS,2019,"Wojtaszek, Radoslaw",24,,2725,POL,1987
CHESS,2019,"Wei, Yi",25,,2725,CHN,1999
CHESS,2019,"Andreikin, Dmitry",26,,2724,RUS,1990
CHESS,2019,"Harikrishna, Pentala",27,,2724,IND,1986
CHESS,2019,"Svidler, Peter",28,,2723,RUS,1976
CHESS,2019,"Firouzja, Alireza",29,,2723,FID,2003
CHESS,2019,"Vidit, Santosh Gujrathi",30,,2721,IND,1994
CHESS,2019,"Le, Quang Liem",31,,2713,VIE,1991
CHESS,2019,"Xiong, Jeffery",32,,2712,USA,2000
CHESS,2019,"Navara, David",33,,2707,CZE,1985
CHESS,2019,"Tomashevsky, Evgeny",34,,2705,RUS,1987
CHESS,2019,"Bu, Xiangzhi",35,,2705,CHN,1985
CHESS,2019,"Vallejo Pons, Francisco",36,,2704,ESP,1982
CHESS,2019,"Alekseenko, Kirill",37,,2704,RUS,1997
CHESS,2019,"Adams, Michael",38,,2701,ENG,1971
CHESS,2019,"Matlakov, Maxim",39,,2699,RUS,1991
CHESS,2019,"Jakovenko, Dmitry",40,,2698,RUS,1983
CHESS,2019,"Sadler, Matthew D",41,,2692,ENG,1974
CHESS,2019,"Almasi, Zoltan",42,,2691,HUN,1976
CHESS,2019,"Maghsoodloo, Parham",43,,2690,IRI,2000
CHESS,2019,"Dubov, Daniil",44,,2690,RUS,1996
CHESS,2019,"Ivanchuk, Vassily",45,,2690,UKR,1969
CHESS,2019,"Li, Chao b",46,,2690,CHN,1989
