Tournament_Name,Date,Entrants,Winner,Prize,Hours_Watched,Peak_Viewership
Mainstage 2,"October 23rd-25th, 2020",,TBD,,,
Riptide,"September 11th-13th, 2020",,TBD,,,
Low Tier City Expo 2020,"July 10th-12th, 2020",,TBD,,,
Battle of BC 4,"June 19th-21st, 2020",,TBD,,,
Smash 'N' Splash 6,"May 28th-31st, 2020",,TBD,,,
Get On My Level 2020,"May 15th-17th, 2020",,TBD,,,
Pound 2020,"April 3rd-5th, 2020",,TBD,,,
Full Bloom 6,"March 28th-29th, 2020",,TBD,,,
Press Less 2020,"March 21st, 2020",,TBD,,,
CEO Dreamland 2020,"March 13th-15th, 2020",,TBD,,,
DreamHack Anaheim 2020,"February 21st-23rd, 2020",,TBD,,,
Smash Summit 9,"February 13th-16th, 2020",,TBD,,,
GENESIS 7,"January 24th-26th, 2020",1110,Zain,11060,1400000,103000
Valhalla III,"January 9th-13th, 2020",141,Leffen,,72000,10800
Mango's Birthday Bash,"December 7th-8th, 2019",228,Mango,5691,210000,27000
EGLX 2019,"October 18th-20th, 2019",101,Hungrybox,7620,342000,44800
DreamHack Rotterdam,"October 18th-20th, 2019",154,Zain,,,
The Big House 9,"October 4th-6th, 2019",909,Mango,9090,556500,85000
Mainstage,"September 20th-22nd, 2019",289,Hungrybox,7890,,46000
Smash Camp: End of Summer,"September 14th-15th, 2019",215,Zain,,,9600
Shine 2019,"August 23rd-25th, 2019",661,Hungrybox,6610,,59000
Super Smash Con 2019,"August 8th-11th, 2019",853,Leffen,8530,,70000
Low Tier City 7,"July 12th-14th, 2019",303,Hungrybox,3030,,
CEO 2019,"June 28th-30th, 2019",329,Hungrybox,3300,,21000
Smash Summit 8,"June 13th-16th, 2019",16,Axe,30230,1087500,62000
Smash 'N' Splash 5,"May 31st-June 2nd, 2019",838,Wizzrobe,13380,391000,76000
Get On My Level 2019,"May 17th-19th, 2019",420,Mango,4669,295500,68000
Pound 2019,"April 19th-21st, 2019",451,Hungrybox,6765,360000,79000
Battle of BC 3,"March 30th-31st, 2019",253,Axe,,,
Full Bloom 5,"March 23rd-24th, 2019",349,Zain,,,23000
GENESIS 6,"February 1st-3rd, 2019",1113,Hungrybox,11130,847000,155000
Don't Park on the Grass 2018,"December 15th-16th, 2018",546,S2J,,82500,16500
Smash Summit 7,"November 15th-18th, 2018",16,Hungrybox,47261,1030500,59700
The Mang0: Homecoming,"November 10th-11th, 2018",350,Leffen,,192000,25000
GameTyrant Expo 2018,"November 2nd-4th, 2018",160,Hungrybox,9090,,
The Big House 8,"October 5th-7th, 2018",1032,Hungrybox,10320,561451,62000
DreamHack Montreal 2018,"September 7th-9th, 2018",192,Hungrybox,,,7200
Shine 2018,"August 24th-26th, 2018",904,Zain,9040,285097,46000
Heir 5,"August 17th-19th, 2018",751,Leffen,9562,88443,15000
Super Smash Con 2018,"August 9th-12th, 2018",1053,Armada,10530,454319,57500
EVO 2018,"August 3rd-5th, 2018",1353,Leffen,13530,928705,195000
Low Tier City 6,"July 27th-29th, 2018",346,Hungrybox,5190,106877,23000
CEO 2018,"June 29th-July 1st, 2018",440,Hungrybox,4400,117819,18000
DreamHack Austin 2018,"June 1st-3rd, 2018",393,Plup,,,9500
Smash 'N' Splash 4,"June 1st-3rd, 2018",924,Armada,14240,392318,120000
MomoCon 2018,"May 24th-27th, 2018",137,Hungrybox,,,11200
Get On My Level 2018,"May 18th-20th, 2018",449,Hungrybox,3509,247146,35500
Smash Summit 6,"May 3rd-6th, 2018",16,Mew2King,22010,1295465,60000
Flatiron 3,"April 21st, 2018",316,Leffen,3160,66120,11500
Noods Noods Noods: Oakland Edition,"April 7th, 2018",182,Hungrybox,5820,51168,13020
Full Bloom 4,"March 24th-25th, 2018",354,Hungrybox,4340,271200,34000
EGLX 2018,"March 9th-11th, 2018",181,Hungrybox,5273,136736,23500
Smash Valley: Lucky #7,"February 17th, 2018",229,Hungrybox,,,
Noods Noods Noods: Melee Edition,"January 27th, 2018",213,Hungrybox,5820,13025,4000
GENESIS 5,"January 19th-21st, 2018",1365,Plup,13650,934800,86000
Valhalla,"January 4th-8th, 2018",171,Leffen,,15528,4500
Smash Summit 5,"November 2nd-4th, 2017",16,Hungrybox,83758,1017365,54000
Too Hot to Handle,"October 28th-29th, 2017",150,Hungrybox,,24299,7500
Canada Cup 2017,"October 27th-29th, 2017",170,Mew2King,5197,78576,24000
DreamHack Denver 2017,"October 20th-22nd, 2017",314,Hungrybox,10000,151129,31000
The Big House 7,"October 6th-8th, 2017",1522,Hungrybox,15220,750000,70000
GameTyrant Expo 2017,"September 29th-October 1st, 2017",354,Hungrybox,30000,,
Syndicate 2017,"September 23rd-24th, 2017",224,Armada,,21892,5000
Shine 2017,"August 25th-27th, 2017",1156,Hungrybox,11560,436622,51000
Heir 4,"August 18th-20th, 2017",476,Leffen,6128,42816,7500
Super Smash Con 2017,"August 10th-13th, 2017",1092,Mango,10920,294226,49000
Get On My Level 2017,"July 28th-30th, 2017",566,Leffen,4512,207736,32000
DreamHack Atlanta 2017,"July 21st-23rd, 2017",402,Plup,10000,145345,25000
EVO 2017,"July 14th-16th, 2017",1428,Armada,14280,808200,132000
Bad Moon Rising 2,"July 1st, 2017",369,Hungrybox,,88818,13000
CEO 2017,"June 16th-18th, 2017",292,Hungrybox,,104664,23000
Battle of BC 2,"June 3rd-4th, 2017",396,ChuDat,,37295,6500
Smash 'N' Splash 3,"June 2nd-4th, 2017",848,Hungrybox,13480,462895,51000
Royal Flush,"May 12th-14th, 2017",331,Mango,8310,518578,78000
DreamHack Austin 2017,"April 28th-30th, 2017",438,Hungrybox,10000,348995,45000
HFLAN Melee Edition 2017,"April 15th-16th, 2017",233,Armada,3629,17716,5000
CEO Dreamland,"April 14th-16th, 2017",333,Mew2King,3330,212260,45000
Smash Rivalries,"April 8th-9th, 2017",16,Hungrybox,4050,321864,30000
Full Bloom 3,"March 25th, 2017",316,Hungrybox,3160,78348,15000
Frame Perfect Series 2,"March 18th-19th, 2017",134,Hungrybox,,127852,27000
Smash Summit Spring 2017,"March 2nd-5th, 2017",16,Armada,51444,1022100,59400
B.E.A.S.T 7,"February 17th-19th, 2017",409,Armada,4355,100696,20000
GENESIS 4,"January 20th-22nd, 2017",1704,Armada,17040,1057848,118000
Don't Park on the Grass,"December 17th-18th, 2016",640,Leffen,7400,,
UGC Smash Open,"December 2nd-4th, 2016",255,Armada,17480,,
DreamHack Winter 2016,"November 24th-27th, 2016",242,Armada,30000,,
Smash Summit 3,"November 3rd-6th, 2016",16,Armada,21609,,
Canada Cup 2016,"October 28th-30th, 2016",232,Armada,3221,,
Eclipse 2,"October 21st-23rd, 2016",247,Armada,5151,,
The Big House 6,"October 7th-9th, 2016",1563,Mango,15630,,
Syndicate 2016,"September 10th-11th, 2016",209,Armada,,,
Shine 2016,"August 26th-28th, 2016",989,Mew2King,9890,,
Heir 3,"August 19th-21st, 2016",472,Armada,6190,,
Super Smash Con 2016,"August 11th-14th, 2016",940,Mango,9400,,
Clutch City Clash,"August 6th-7th, 2016",270,Mew2King,,,
EVO 2016,"July 15th-17th, 2016",2372,Hungrybox,23720,,
WTFox 2,"July 1st-3rd, 2016",292,Mango,7420,,
CEO 2016,"June 24th-26th, 2016",678,Hungrybox,6780,,
Low Tier City 4,"June 18th-19th, 2016",294,Hungrybox,,,
Smash 'N' Splash 2,"June 11th-12th, 2016",459,Hungrybox,4590,,
Get On My Level 2016,"May 20th -22nd, 2016",509,Leffen,7698,,
DreamHack Austin 2016,"May 6th-8th, 2016",398,Mango,10000,,
Enthusiast Gaming Live Expo,"April 29th-May 1st, 2016",256,Hungrybox,6026,,
Smash Summit 2,"April 21st-24th, 2016",16,Armada,25923,,
Pound 2016,"April 2nd-3rd, 2016",933,Hungrybox,13995,,
Battle of the Five Gods,"March 17th-19th, 2016",20,Hungrybox,25000,,
B.E.A.S.T 6,"February 19th-21st, 2016",410,Armada,4549,,
PAX Arena,"January 29th-31st, 2016",200,Hungrybox,3500,,
GENESIS 3,"January 15th-17th, 2016",1828,Armada,23779,,
