FIELD,YEAR,PLAYER,RANK,CHANGE,NEW,SPEC_SCORE
SSBM,2019,Hungrybox,1,0,False,100.0
SSBM,2019,Leffen,2,1,False,98.9
SSBM,2019,Mango,3,2,False,98.3
SSBM,2019,Axe,4,6,False,97.0
SSBM,2019,Wizzrobe,5,3,False,96.4
SSBM,2019,Zain,6,1,False,96.1
SSBM,2019,aMSa,7,2,False,94.6
SSBM,2019,Plup,8,-4,False,93.5
SSBM,2019,iBDW,9,25,False,92.9
SSBM,2019,Mew2King,10,-4,False,92.0
SSBM,2019,S2J,11,0,False,91.5
SSBM,2019,Fiction,12,16,False,90.3
SSBM,2019,SFAT,13,-1,False,90.3
SSBM,2019,moky,14,38,False,89.2
SSBM,2019,n0ne,15,1,False,88.1
SSBM,2019,Trif,16,19,False,87.4
SSBM,2019,Captain Faceroll,17,16,False,87.1
SSBM,2019,Swedish Delight,18,-5,False,86.9
SSBM,2019,Hax$,19,82,True,84.7
SSBM,2019,Lucky,20,-2,False,84.7
SSBM,2019,Ginger,21,19,False,83.2
SSBM,2019,Spark,22,31,False,82.7
SSBM,2019,ChuDat,23,23,False,82.2
SSBM,2019,PewPewU,24,-9,False,81.5
SSBM,2019,lloD,25,-4,False,80.0
SSBM,2019,ARMY,26,-6,False,79.6
SSBM,2019,AbsentPage,27,-3,False,78.9
SSBM,2019,Bananas,28,-9,False,77.6
SSBM,2019,KJH,29,-4,False,77.6
SSBM,2019,Shroomed,30,-1,False,75.6
SSBM,2019,Westballz,31,-9,False,74.9
SSBM,2019,Medz,32,69,True,74.1
SSBM,2019,MikeHaze,33,10,False,73.4
SSBM,2019,Professor Pro,34,22,False,72.5
SSBM,2019,2saint,35,14,False,72.5
SSBM,2019,Gahtzu,36,-9,False,71.3
SSBM,2019,Albert,37,64,True,69.8
SSBM,2019,Spud,38,9,False,68.7
SSBM,2019,FatGoku,39,30,False,67.8
SSBM,2019,Rishi,40,-14,False,67.3
SSBM,2019,Bimbo,41,60,True,66.2
SSBM,2019,Setchi,42,59,True,66.2
SSBM,2019,Magi,43,54,False,64.8
SSBM,2019,Morsecode762,44,55,False,63.1
SSBM,2019,Jakenshaken,45,43,False,63.0
SSBM,2019,HugS,46,-23,False,62.1
SSBM,2019,Stango,47,15,False,60.7
SSBM,2019,Zamu,48,30,False,60.1
SSBM,2019,Drephen,49,11,False,59.9
SSBM,2019,Michael,50,-9,False,59.0
SSBM,2019,Ice,51,-12,False,58.8
SSBM,2019,billybopeep,52,49,True,58.7
SSBM,2019,La Luna,53,-21,False,57.5
SSBM,2019,Colbol,54,-24,False,57.2
SSBM,2019,Overtriforce,55,2,False,57.1
SSBM,2019,Slox,56,-6,False,56.3
SSBM,2019,Kalamazhu,57,-20,False,56.2
SSBM,2019,Nickemwit,58,43,True,55.6
SSBM,2019,Jerry,59,-4,False,54.2
SSBM,2019,Aura,60,41,True,52.8
SSBM,2019,Nut,61,40,True,52.8
SSBM,2019,Kalvar,62,17,False,52.6
SSBM,2019,Polish,63,38,True,52.0
