FIELD,YEAR,PLAYER,RANK,CHANGE,NEW,SPEC_SCORE
TENNIS,2019,Rafael Nadal,1,1,False,"9,985"
TENNIS,2019,Novak Djokovic,2,-1,False,"9,145"
TENNIS,2019,Roger Federer,3,0,False,"6,590"
TENNIS,2019,Dominic Thiem,4,4,False,"5,825"
TENNIS,2019,Daniil Medvedev,5,11,False,"5,705"
TENNIS,2019,Stefanos Tsitsipas,6,9,False,"5,300"
TENNIS,2019,Alexander Zverev,7,-3,False,"3,345"
TENNIS,2019,Matteo Berrettini,8,46,False,"2,870"
TENNIS,2019,Roberto Bautista Agut,9,15,False,"2,540"
TENNIS,2019,Gael Monfils,10,19,False,"2,530"
TENNIS,2019,David Goffin,11,11,False,"2,335"
TENNIS,2019,Fabio Fognini,12,1,False,"2,290"
TENNIS,2019,Kei Nishikori,13,-4,False,"2,180"
TENNIS,2019,Diego Schwartzman,14,3,False,"2,125"
TENNIS,2019,Denis Shapovalov,15,12,False,"2,050"
TENNIS,2019,Stan Wawrinka,16,50,False,"2,000"
TENNIS,2019,Karen Khachanov,17,-6,False,"1,840"
TENNIS,2019,Alex de Minaur,18,13,False,"1,775"
TENNIS,2019,John Isner,19,-9,False,"1,770"
TENNIS,2019,Grigor Dimitrov,20,-1,False,"1,747"
TENNIS,2019,Felix Auger-Aliassime,21,80,True,"1,636"
TENNIS,2019,Lucas Pouille,22,10,False,"1,600"
TENNIS,2019,Andrey Rublev,23,45,False,"1,584"
TENNIS,2019,Benoit Paire,24,28,False,"1,538"
TENNIS,2019,Guido Pella,25,33,False,"1,530"
TENNIS,2019,Nikoloz Basilashvili,26,-5,False,"1,450"
TENNIS,2019,Pablo Carreno Busta,27,-4,False,"1,422"
TENNIS,2019,Borna Coric,28,-16,False,"1,415"
TENNIS,2019,Jo-Wilfried Tsonga,29,72,True,"1,410"
TENNIS,2019,Nick Kyrgios,30,5,False,"1,395"
TENNIS,2019,Milos Raonic,31,-13,False,"1,350"
TENNIS,2019,Taylor Fritz,32,17,False,"1,315"
TENNIS,2019,Cristian Garin,33,52,False,"1,297"
TENNIS,2019,Dusan Lajovic,34,14,False,"1,296"
TENNIS,2019,Jan-Lennard Struff,35,22,False,"1,245"
TENNIS,2019,Reilly Opelka,36,64,False,"1,243"
TENNIS,2019,Hubert Hurkacz,37,50,False,"1,198"
TENNIS,2019,Laslo Djere,38,56,False,"1,171"
TENNIS,2019,Marin Cilic,39,-32,False,"1,165"
TENNIS,2019,Filip Krajinovic,40,55,False,"1,148"
TENNIS,2019,Albert Ramos-Vinolas,41,24,False,"1,130"
TENNIS,2019,Daniel Evans,42,59,True,"1,124"
TENNIS,2019,Adrian Mannarino,43,-1,False,"1,111"
TENNIS,2019,Sam Querrey,44,7,False,"1,100"
TENNIS,2019,Pablo Cuevas,45,44,False,"1,097"
TENNIS,2019,Radu Albot,46,53,False,"1,067"
TENNIS,2019,Frances Tiafoe,47,-8,False,"1,050"
TENNIS,2019,John Millman,48,-10,False,"1,026"
TENNIS,2019,Fernando Verdasco,49,-21,False,"1,025"
TENNIS,2019,Juan Ignacio Londero,50,51,True,"1,017"
TENNIS,2019,Jeremy Chardy,51,-11,False,990
TENNIS,2019,Lorenzo Sonego,52,49,True,990
TENNIS,2019,Cameron Norrie,53,38,False,975
TENNIS,2019,Casper Ruud,54,47,True,956
TENNIS,2019,Gilles Simon,55,-25,False,955
TENNIS,2019,Alexander Bublik,56,45,True,919
TENNIS,2019,Ugo Humbert,57,27,False,912
TENNIS,2019,Aljaz Bedene,58,9,False,905
TENNIS,2019,Miomir Kecmanovic,59,42,True,901
TENNIS,2019,Joao Sousa,60,-16,False,891
TENNIS,2019,Richard Gasquet,61,-35,False,890
TENNIS,2019,Feliciano Lopez,62,2,False,888
TENNIS,2019,Jordan Thompson,63,9,False,878
TENNIS,2019,Pablo Andujar,64,18,False,867
TENNIS,2019,Pierre-Hugues Herbert,65,-10,False,865
TENNIS,2019,Ricardas Berankis,66,35,True,836
TENNIS,2019,Mikhail Kukushkin,67,-14,False,816
TENNIS,2019,Tennys Sandgren,68,-7,False,803
TENNIS,2019,Kyle Edmund,69,-55,False,800
TENNIS,2019,Marton Fucsovics,70,-34,False,790
TENNIS,2019,Marco Cecchinato,71,-51,False,780
TENNIS,2019,Andreas Seppi,72,-35,False,776
TENNIS,2019,Yoshihito Nishioka,73,2,False,764
TENNIS,2019,Mikael Ymer,74,27,True,763
TENNIS,2019,Hugo Dellien,75,26,True,743
TENNIS,2019,Federico Delbonis,76,4,False,732
TENNIS,2019,Nicolas Jarry,77,-34,False,695
TENNIS,2019,Jannik Sinner,78,23,True,671
TENNIS,2019,Philipp Kohlschreiber,79,-45,False,665
TENNIS,2019,Roberto Carballes Baena,80,-7,False,664
TENNIS,2019,Yasutaka Uchiyama,81,20,True,651
TENNIS,2019,Gregoire Barrere,82,19,True,648
TENNIS,2019,Corentin Moutet,83,18,True,638
TENNIS,2019,Stefano Travaglia,84,17,True,637
TENNIS,2019,Steve Johnson,85,-52,False,630
TENNIS,2019,Jaume Munar,86,-5,False,628
TENNIS,2019,Alejandro Davidovich Fokina,87,14,True,627
TENNIS,2019,Soonwoo Kwon,88,13,True,622
TENNIS,2019,Thiago Monteiro,89,12,True,616
TENNIS,2019,Tommy Paul,90,11,True,611
TENNIS,2019,Kevin Anderson,91,-85,False,610
TENNIS,2019,Leonardo Mayer,92,-36,False,603
TENNIS,2019,Damir Dzumhur,93,-46,False,594
TENNIS,2019,Dominik Koepfer,94,7,True,592
TENNIS,2019,Ivo Karlovic,95,6,True,586
TENNIS,2019,Salvatore Caruso,96,5,True,586
TENNIS,2019,Alexei Popyrin,97,4,True,585
TENNIS,2019,Egor Gerasimov,98,3,True,581
TENNIS,2019,Lloyd Harris,99,2,True,576
TENNIS,2019,James Duckworth,100,1,True,576
TENNIS,2018,Novak Djokovic,1,11,False,"9,045"
TENNIS,2018,Rafael Nadal,2,-1,False,"7,480"
TENNIS,2018,Roger Federer,3,-1,False,"6,420"
TENNIS,2018,Alexander Zverev,4,0,False,"6,385"
TENNIS,2018,Juan Martin del Potro,5,6,False,"5,300"
TENNIS,2018,Kevin Anderson,6,8,False,"4,710"
TENNIS,2018,Marin Cilic,7,-1,False,"4,250"
TENNIS,2018,Dominic Thiem,8,-3,False,"4,095"
TENNIS,2018,Kei Nishikori,9,13,False,"3,590"
TENNIS,2018,John Isner,10,7,False,"3,155"
TENNIS,2018,Karen Khachanov,11,34,False,"2,835"
TENNIS,2018,Borna Coric,12,36,False,"2,480"
TENNIS,2018,Fabio Fognini,13,14,False,"2,315"
TENNIS,2018,Kyle Edmund,14,36,False,"2,150"
TENNIS,2018,Stefanos Tsitsipas,15,76,False,"2,095"
TENNIS,2018,Daniil Medvedev,16,49,False,"1,977"
TENNIS,2018,Diego Schwartzman,17,9,False,"1,880"
TENNIS,2018,Milos Raonic,18,6,False,"1,855"
TENNIS,2018,Grigor Dimitrov,19,-16,False,"1,835"
TENNIS,2018,Marco Cecchinato,20,81,True,"1,819"
TENNIS,2018,Nikoloz Basilashvili,21,38,False,"1,795"
TENNIS,2018,David Goffin,22,-15,False,"1,785"
TENNIS,2018,Pablo Carreno Busta,23,-13,False,"1,705"
TENNIS,2018,Roberto Bautista Agut,24,-4,False,"1,605"
TENNIS,2018,Hyeon Chung,25,33,False,"1,585"
TENNIS,2018,Richard Gasquet,26,5,False,"1,535"
TENNIS,2018,Denis Shapovalov,27,24,False,"1,440"
TENNIS,2018,Fernando Verdasco,28,7,False,"1,410"
TENNIS,2018,Gael Monfils,29,17,False,"1,400"
TENNIS,2018,Gilles Simon,30,59,False,"1,370"
TENNIS,2018,Alex de Minaur,31,70,True,"1,298"
TENNIS,2018,Lucas Pouille,32,-14,False,"1,245"
TENNIS,2018,Steve Johnson,33,11,False,"1,190"
TENNIS,2018,Philipp Kohlschreiber,34,-5,False,"1,125"
TENNIS,2018,Nick Kyrgios,35,-14,False,"1,125"
TENNIS,2018,Marton Fucsovics,36,49,False,"1,122"
TENNIS,2018,Andreas Seppi,37,49,False,"1,106"
TENNIS,2018,John Millman,38,63,True,"1,083"
TENNIS,2018,Frances Tiafoe,39,40,False,"1,080"
TENNIS,2018,Jeremy Chardy,40,38,False,"1,050"
TENNIS,2018,Martin Klizan,41,60,True,"1,048"
TENNIS,2018,Adrian Mannarino,42,-14,False,"1,045"
TENNIS,2018,Nicolas Jarry,43,57,False,"1,022"
TENNIS,2018,Joao Sousa,44,13,False,"1,017"
TENNIS,2018,Malek Jaziri,45,53,False,"1,014"
TENNIS,2018,Matthew Ebden,46,30,False,"1,001"
TENNIS,2018,Damir Dzumhur,47,-17,False,985
TENNIS,2018,Dusan Lajovic,48,27,False,985
TENNIS,2018,Taylor Fritz,49,52,True,974
TENNIS,2018,Robin Haase,50,-8,False,965
TENNIS,2018,Sam Querrey,51,-38,False,955
TENNIS,2018,Benoit Paire,52,-11,False,935
TENNIS,2018,Mikhail Kukushkin,53,21,False,935
TENNIS,2018,Matteo Berrettini,54,47,True,932
TENNIS,2018,Pierre-Hugues Herbert,55,26,False,903
TENNIS,2018,Leonardo Mayer,56,-4,False,895
TENNIS,2018,Jan-Lennard Struff,57,-4,False,875
TENNIS,2018,Guido Pella,58,6,False,860
TENNIS,2018,Peter Gojowczyk,59,1,False,855
TENNIS,2018,Marius Copil,60,33,False,823
TENNIS,2018,Tennys Sandgren,61,35,False,814
TENNIS,2018,Ryan Harrison,62,-15,False,810
TENNIS,2018,Denis Kudla,63,38,True,810
TENNIS,2018,Feliciano Lopez,64,-28,False,795
TENNIS,2018,Albert Ramos-Vinolas,65,-42,False,790
TENNIS,2018,Stan Wawrinka,66,-57,False,785
TENNIS,2018,Aljaz Bedene,67,-18,False,780
TENNIS,2018,Andrey Rublev,68,-29,False,760
TENNIS,2018,Mischa Zverev,69,-36,False,750
TENNIS,2018,Vasek Pospisil,70,31,True,716
TENNIS,2018,Tomas Berdych,71,-52,False,715
TENNIS,2018,Jordan Thompson,72,22,False,715
TENNIS,2018,Roberto Carballes Baena,73,28,True,714
TENNIS,2018,Maximilian Marterer,74,16,False,706
TENNIS,2018,Yoshihito Nishioka,75,26,True,701
TENNIS,2018,Bradley Klahn,76,25,True,699
TENNIS,2018,Taro Daniel,77,22,False,691
TENNIS,2018,Mackenzie McDonald,78,23,True,688
TENNIS,2018,Guido Andreozzi,79,22,True,680
TENNIS,2018,Federico Delbonis,80,-12,False,678
TENNIS,2018,Jaume Munar,81,20,True,661
TENNIS,2018,Pablo Andujar,82,19,True,656
TENNIS,2018,Bernard Tomic,83,18,True,655
TENNIS,2018,Ugo Humbert,84,17,True,653
TENNIS,2018,Cristian Garin,85,16,True,648
TENNIS,2018,Jozef Kovalik,86,15,True,637
TENNIS,2018,Hubert Hurkacz,87,14,True,636
TENNIS,2018,Mirza Basic,88,13,True,635
TENNIS,2018,Pablo Cuevas,89,-57,False,630
TENNIS,2018,Jiri Vesely,90,-28,False,629
TENNIS,2018,Cameron Norrie,91,10,True,627
TENNIS,2018,Ilya Ivashka,92,9,True,622
TENNIS,2018,Denis Istomin,93,-30,False,622
TENNIS,2018,Laslo Djere,94,-6,False,621
TENNIS,2018,Filip Krajinovic,95,-61,False,620
TENNIS,2018,Ernests Gulbis,96,5,True,611
TENNIS,2018,Marcel Granollers,97,4,True,598
TENNIS,2018,Evgeny Donskoy,98,-26,False,594
TENNIS,2018,Radu Albot,99,-12,False,592
TENNIS,2018,Reilly Opelka,100,1,True,590
TENNIS,2017,Rafael Nadal,1,8,False,"10,645"
TENNIS,2017,Roger Federer,2,14,False,"9,605"
TENNIS,2017,Grigor Dimitrov,3,14,False,"5,150"
TENNIS,2017,Alexander Zverev,4,20,False,"4,610"
TENNIS,2017,Dominic Thiem,5,3,False,"4,015"
TENNIS,2017,Marin Cilic,6,0,False,"3,805"
TENNIS,2017,David Goffin,7,4,False,"3,775"
TENNIS,2017,Jack Sock,8,15,False,"3,165"
TENNIS,2017,Stan Wawrinka,9,-5,False,"3,150"
TENNIS,2017,Pablo Carreno Busta,10,20,False,"2,615"
TENNIS,2017,Juan Martin del Potro,11,27,False,"2,595"
TENNIS,2017,Novak Djokovic,12,-10,False,"2,585"
TENNIS,2017,Sam Querrey,13,18,False,"2,535"
TENNIS,2017,Kevin Anderson,14,53,False,"2,480"
TENNIS,2017,Jo-Wilfried Tsonga,15,-3,False,"2,320"
TENNIS,2017,Andy Murray,16,-15,False,"2,290"
TENNIS,2017,John Isner,17,2,False,"2,265"
TENNIS,2017,Lucas Pouille,18,-3,False,"2,235"
TENNIS,2017,Tomas Berdych,19,-9,False,"2,095"
TENNIS,2017,Roberto Bautista Agut,20,-6,False,"2,015"
TENNIS,2017,Nick Kyrgios,21,-8,False,"2,010"
TENNIS,2017,Kei Nishikori,22,-17,False,"1,885"
TENNIS,2017,Albert Ramos-Vinolas,23,4,False,"1,845"
TENNIS,2017,Milos Raonic,24,-21,False,"1,795"
TENNIS,2017,Gilles Muller,25,9,False,"1,695"
TENNIS,2017,Diego Schwartzman,26,26,False,"1,675"
TENNIS,2017,Fabio Fognini,27,22,False,"1,670"
TENNIS,2017,Adrian Mannarino,28,32,False,"1,635"
TENNIS,2017,Philipp Kohlschreiber,29,3,False,"1,440"
TENNIS,2017,Damir Dzumhur,30,47,False,"1,391"
TENNIS,2017,Richard Gasquet,31,-13,False,"1,375"
TENNIS,2017,Pablo Cuevas,32,-10,False,"1,370"
TENNIS,2017,Mischa Zverev,33,18,False,"1,302"
TENNIS,2017,Filip Krajinovic,34,67,True,"1,298"
TENNIS,2017,Fernando Verdasco,35,7,False,"1,295"
TENNIS,2017,Feliciano Lopez,36,-8,False,"1,295"
TENNIS,2017,David Ferrer,37,-16,False,"1,290"
TENNIS,2017,Alexandr Dolgopolov,38,24,False,"1,231"
TENNIS,2017,Andrey Rublev,39,62,True,"1,229"
TENNIS,2017,Yuichi Sugita,40,61,True,"1,219"
TENNIS,2017,Benoit Paire,41,6,False,"1,155"
TENNIS,2017,Robin Haase,42,17,False,"1,130"
TENNIS,2017,Paolo Lorenzi,43,-3,False,"1,095"
TENNIS,2017,Steve Johnson,44,-11,False,"1,055"
TENNIS,2017,Karen Khachanov,45,8,False,"1,030"
TENNIS,2017,Gael Monfils,46,-39,False,"1,015"
TENNIS,2017,Ryan Harrison,47,43,False,"1,010"
TENNIS,2017,Borna Coric,48,0,False,"1,001"
TENNIS,2017,Aljaz Bedene,49,52,True,993
TENNIS,2017,Kyle Edmund,50,-5,False,992
TENNIS,2017,Denis Shapovalov,51,50,True,981
TENNIS,2017,Leonardo Mayer,52,49,True,909
TENNIS,2017,Jan-Lennard Struff,53,10,False,898
TENNIS,2017,Jared Donaldson,54,47,True,890
TENNIS,2017,Viktor Troicki,55,-26,False,880
TENNIS,2017,Julien Benneteau,56,45,True,855
TENNIS,2017,Joao Sousa,57,-14,False,850
TENNIS,2017,Hyeon Chung,58,43,True,844
TENNIS,2017,Nikoloz Basilashvili,59,35,False,826
TENNIS,2017,Peter Gojowczyk,60,41,True,817
TENNIS,2017,Donald Young,61,27,False,816
TENNIS,2017,Jiri Vesely,62,-7,False,815
TENNIS,2017,Denis Istomin,63,38,True,809
TENNIS,2017,Guido Pella,64,16,False,774
TENNIS,2017,Daniil Medvedev,65,34,False,772
TENNIS,2017,Horacio Zeballos,66,5,False,768
TENNIS,2017,Dudi Sela,67,29,False,755
TENNIS,2017,Federico Delbonis,68,-27,False,755
TENNIS,2017,Florian Mayer,69,-19,False,718
TENNIS,2017,Guillermo Garcia-Lopez,70,0,False,714
TENNIS,2017,Yen-Hsun Lu,71,-7,False,704
TENNIS,2017,Evgeny Donskoy,72,29,True,704
TENNIS,2017,Thomas Fabbiano,73,28,True,701
TENNIS,2017,Mikhail Kukushkin,74,15,False,693
TENNIS,2017,Dusan Lajovic,75,18,False,687
TENNIS,2017,Matthew Ebden,76,25,True,670
TENNIS,2017,Steve Darcis,77,9,False,667
TENNIS,2017,Jeremy Chardy,78,-9,False,665
TENNIS,2017,Frances Tiafoe,79,22,True,662
TENNIS,2017,Ivo Karlovic,80,-60,False,660
TENNIS,2017,Pierre-Hugues Herbert,81,-3,False,652
TENNIS,2017,Cedrik-Marcel Stebe,82,19,True,651
TENNIS,2017,Victor Estrella Burgos,83,18,True,648
TENNIS,2017,Mikhail Youzhny,84,-27,False,633
TENNIS,2017,Marton Fucsovics,85,16,True,630
TENNIS,2017,Andreas Seppi,86,1,False,616
TENNIS,2017,Radu Albot,87,10,False,616
TENNIS,2017,Laslo Djere,88,13,True,612
TENNIS,2017,Gilles Simon,89,-64,False,610
TENNIS,2017,Maximilian Marterer,90,11,True,608
TENNIS,2017,Stefanos Tsitsipas,91,10,True,606
TENNIS,2017,Lukas Lacko,92,9,True,605
TENNIS,2017,Marius Copil,93,8,True,601
TENNIS,2017,Jordan Thompson,94,-15,False,593
TENNIS,2017,Nicolas Kicker,95,6,True,590
TENNIS,2017,Tennys Sandgren,96,5,True,583
TENNIS,2017,Blaz Kavcic,97,4,True,581
TENNIS,2017,Malek Jaziri,98,-40,False,580
TENNIS,2017,Taro Daniel,99,2,True,579
TENNIS,2017,Nicolas Jarry,100,1,True,574
TENNIS,2016,Andy Murray,1,1,False,"12,410"
TENNIS,2016,Novak Djokovic,2,-1,False,"11,780"
TENNIS,2016,Milos Raonic,3,11,False,"5,450"
TENNIS,2016,Stan Wawrinka,4,0,False,"5,315"
TENNIS,2016,Kei Nishikori,5,3,False,"4,905"
TENNIS,2016,Marin Cilic,6,7,False,"3,650"
TENNIS,2016,Gael Monfils,7,17,False,"3,625"
TENNIS,2016,Dominic Thiem,8,12,False,"3,415"
TENNIS,2016,Rafael Nadal,9,-4,False,"3,300"
TENNIS,2016,Tomas Berdych,10,-4,False,"3,060"
TENNIS,2016,David Goffin,11,5,False,"2,750"
TENNIS,2016,Jo-Wilfried Tsonga,12,-2,False,"2,550"
TENNIS,2016,Nick Kyrgios,13,17,False,"2,460"
TENNIS,2016,Roberto Bautista Agut,14,11,False,"2,350"
TENNIS,2016,Lucas Pouille,15,63,False,"2,156"
TENNIS,2016,Roger Federer,16,-13,False,"2,130"
TENNIS,2016,Grigor Dimitrov,17,11,False,"2,035"
TENNIS,2016,Richard Gasquet,18,-9,False,"1,885"
TENNIS,2016,John Isner,19,-8,False,"1,850"
TENNIS,2016,Ivo Karlovic,20,3,False,"1,795"
TENNIS,2016,David Ferrer,21,-14,False,"1,785"
TENNIS,2016,Pablo Cuevas,22,18,False,"1,780"
TENNIS,2016,Jack Sock,23,3,False,"1,710"
TENNIS,2016,Alexander Zverev,24,59,False,"1,655"
TENNIS,2016,Gilles Simon,25,-10,False,"1,585"
TENNIS,2016,Bernard Tomic,26,-8,False,"1,465"
TENNIS,2016,Albert Ramos-Vinolas,27,27,False,"1,435"
TENNIS,2016,Feliciano Lopez,28,-11,False,"1,410"
TENNIS,2016,Viktor Troicki,29,-7,False,"1,385"
TENNIS,2016,Pablo Carreno Busta,30,37,False,"1,370"
TENNIS,2016,Sam Querrey,31,28,False,"1,355"
TENNIS,2016,Philipp Kohlschreiber,32,2,False,"1,325"
TENNIS,2016,Steve Johnson,33,-1,False,"1,320"
TENNIS,2016,Gilles Muller,34,4,False,"1,255"
TENNIS,2016,Martin Klizan,35,8,False,"1,230"
TENNIS,2016,Marcos Baghdatis,36,10,False,"1,140"
TENNIS,2016,Marcel Granollers,37,47,False,"1,136"
TENNIS,2016,Juan Martin del Potro,38,63,True,"1,110"
TENNIS,2016,Nicolas Mahut,39,32,False,"1,102"
TENNIS,2016,Paolo Lorenzi,40,28,False,"1,090"
TENNIS,2016,Federico Delbonis,41,11,False,"1,040"
TENNIS,2016,Fernando Verdasco,42,7,False,"1,035"
TENNIS,2016,Joao Sousa,43,-10,False,"1,030"
TENNIS,2016,Nicolas Almagro,44,29,False,"1,013"
TENNIS,2016,Kyle Edmund,45,56,True,"1,001"
TENNIS,2016,Andrey Kuznetsov,46,33,False,970
TENNIS,2016,Benoit Paire,47,-28,False,960
TENNIS,2016,Borna Coric,48,-4,False,945
TENNIS,2016,Fabio Fognini,49,-28,False,945
TENNIS,2016,Florian Mayer,50,51,True,903
TENNIS,2016,Mischa Zverev,51,50,True,874
TENNIS,2016,Diego Schwartzman,52,36,False,864
TENNIS,2016,Karen Khachanov,53,48,True,863
TENNIS,2016,Stephane Robert,54,47,True,854
TENNIS,2016,Jiri Vesely,55,-14,False,848
TENNIS,2016,Facundo Bagnis,56,45,True,835
TENNIS,2016,Mikhail Youzhny,57,44,True,826
TENNIS,2016,Malek Jaziri,58,43,True,814
TENNIS,2016,Robin Haase,59,7,False,795
TENNIS,2016,Adrian Mannarino,60,-13,False,791
TENNIS,2016,Thomaz Bellucci,61,-24,False,771
TENNIS,2016,Alexandr Dolgopolov,62,-26,False,760
TENNIS,2016,Jan-Lennard Struff,63,38,True,758
TENNIS,2016,Yen-Hsun Lu,64,13,False,754
TENNIS,2016,Juan Monaco,65,-12,False,740
TENNIS,2016,Daniel Evans,66,35,True,736
TENNIS,2016,Kevin Anderson,67,-55,False,735
TENNIS,2016,Gerald Melzer,68,33,True,728
TENNIS,2016,Jeremy Chardy,69,-38,False,725
TENNIS,2016,Guillermo Garcia-Lopez,70,-43,False,725
TENNIS,2016,Horacio Zeballos,71,30,True,722
TENNIS,2016,Dustin Brown,72,29,True,710
TENNIS,2016,Paul-Henri Mathieu,73,22,False,710
TENNIS,2016,Illya Marchenko,74,20,False,705
TENNIS,2016,Adam Pavlasek,75,26,True,704
TENNIS,2016,Taylor Fritz,76,25,True,701
TENNIS,2016,Damir Dzumhur,77,5,False,699
TENNIS,2016,Pierre-Hugues Herbert,78,23,True,698
TENNIS,2016,Jordan Thompson,79,22,True,689
TENNIS,2016,Guido Pella,80,-6,False,685
