FIELD,YEAR,PLAYER,RANK,CHANGE,NEW,SPEC_SCORE
CHESS,2019,"Carlsen, Magnus",1,0.0,False,2872
CHESS,2019,"Caruana, Fabiano",2,0.0,False,2822
CHESS,2019,"Ding, Liren",3,1.0,False,2801
CHESS,2019,"Vachier-Lagrave, Maxime",4,2.0,False,2780
CHESS,2019,"Grischuk, Alexander",5,4.0,False,2777
CHESS,2019,"Aronian, Levon",6,4.0,False,2775
CHESS,2019,"Mamedyarov, Shakhriyar",7,-4.0,False,2772
CHESS,2019,"Giri, Anish",8,-3.0,False,2769
CHESS,2019,"Nepomniachtchi, Ian",9,4.0,False,2767
CHESS,2019,"Radjabov, Teimour",10,4.0,False,2765
CHESS,2019,"So, Wesley",11,0.0,False,2760
CHESS,2019,"Duda, Jan-Krzysztof",12,6.0,False,2758
CHESS,2019,"Dominguez Perez, Leinier",13,88.0,True,2758
CHESS,2019,"Rapport, Richard",14,10.0,False,2758
CHESS,2019,"Anand, Viswanathan",15,-7.0,False,2757
CHESS,2019,"Wang, Hao",16,9.0,False,2756
CHESS,2019,"Karjakin, Sergey",17,-2.0,False,2754
CHESS,2019,"Kramnik, Vladimir",18,-11.0,False,2753
CHESS,2019,"Vitiugov, Nikita",19,11.0,False,2747
CHESS,2019,"Yu, Yangyi",20,-8.0,False,2738
CHESS,2019,"Topalov, Veselin",21,-4.0,False,2737
CHESS,2019,"Nakamura, Hikaru",22,-6.0,False,2736
CHESS,2019,"Artemiev, Vladislav",23,14.0,False,2731
CHESS,2019,"Wojtaszek, Radoslaw",24,-1.0,False,2725
CHESS,2019,"Wei, Yi",25,1.0,False,2725
CHESS,2019,"Andreikin, Dmitry",26,6.0,False,2724
CHESS,2019,"Harikrishna, Pentala",27,1.0,False,2724
CHESS,2019,"Svidler, Peter",28,-9.0,False,2723
CHESS,2019,"Firouzja, Alireza",29,72.0,True,2723
CHESS,2019,"Vidit, Santosh Gujrathi",30,13.0,False,2721
CHESS,2019,"Le, Quang Liem",31,3.0,False,2713
CHESS,2019,"Xiong, Jeffery",32,35.0,False,2712
CHESS,2019,"Navara, David",33,-12.0,False,2707
CHESS,2019,"Tomashevsky, Evgeny",34,4.0,False,2705
CHESS,2019,"Bu, Xiangzhi",35,-8.0,False,2705
CHESS,2019,"Vallejo Pons, Francisco",36,13.0,False,2704
CHESS,2019,"Alekseenko, Kirill",37,64.0,True,2704
CHESS,2019,"Adams, Michael",38,1.0,False,2701
CHESS,2019,"Matlakov, Maxim",39,5.0,False,2699
CHESS,2019,"Jakovenko, Dmitry",40,-18.0,False,2698
CHESS,2019,"Sadler, Matthew D",41,10.0,False,2692
CHESS,2019,"Almasi, Zoltan",42,10.0,False,2691
CHESS,2019,"Maghsoodloo, Parham",43,12.0,False,2690
CHESS,2019,"Dubov, Daniil",44,-4.0,False,2690
CHESS,2019,"Ivanchuk, Vassily",45,-12.0,False,2690
CHESS,2019,"Li, Chao b",46,-5.0,False,2690
CHESS,2019,"Sargissian, Gabriel",47,7.0,False,2689
CHESS,2019,"Cheparinov, Ivan",48,-12.0,False,2687
CHESS,2019,"Anton Guijarro, David",49,52.0,True,2685
CHESS,2019,"Rausis, Igors",50,48.0,False,2685
CHESS,2019,"Shirov, Alexei",51,50.0,True,2684
CHESS,2019,"Gelfand, Boris",52,19.0,False,2684
CHESS,2019,"Grandelius, Nils",53,13.0,False,2683
CHESS,2019,"Jones, Gawain C B",54,9.0,False,2683
CHESS,2019,"Shankland, Sam",55,46.0,True,2683
CHESS,2019,"Amin, Bassem",56,-21.0,False,2683
CHESS,2019,"Kamsky, Gata",57,22.0,False,2677
CHESS,2019,"McShane, Luke J",58,23.0,False,2677
CHESS,2019,"Fedoseev, Vladimir",59,-28.0,False,2677
CHESS,2019,"Dreev, Aleksey",60,15.0,False,2677
CHESS,2019,"Howell, David W L",61,-15.0,False,2676
CHESS,2019,"Predke, Alexandr",62,39.0,True,2676
CHESS,2019,"Kryvoruchko, Yuriy",63,-6.0,False,2675
CHESS,2019,"Areshchenko, Alexander",64,30.0,False,2675
CHESS,2019,"Salem, A.R. Saleh",65,23.0,False,2675
CHESS,2019,"Wang, Yue",66,-5.0,False,2674
CHESS,2019,"Robson, Ray",67,11.0,False,2673
CHESS,2019,"Ragger, Markus",68,-12.0,False,2670
CHESS,2019,"Leko, Peter",69,8.0,False,2670
CHESS,2019,"Ni, Hua",70,-10.0,False,2669
CHESS,2019,"Bacrot, Etienne",71,-13.0,False,2669
CHESS,2019,"Melkumyan, Hrant",72,1.0,False,2668
CHESS,2019,"Nisipeanu, Liviu-Dieter",73,-11.0,False,2668
CHESS,2019,"Malakhov, Vladimir",74,17.0,False,2668
CHESS,2019,"Korobov, Anton",75,-30.0,False,2668
CHESS,2019,"Kuzubov, Yuriy",76,21.0,False,2667
CHESS,2019,"Guseinov, Gadir",77,5.0,False,2666
CHESS,2019,"Sjugirov, Sanan",78,6.0,False,2665
CHESS,2019,"Hou, Yifan",79,7.0,False,2664
CHESS,2019,"Kasimdzhanov, Rustam",80,10.0,False,2664
CHESS,2019,"Sarana, Alexey",81,20.0,True,2663
CHESS,2019,"Abasov, Nijat",82,19.0,True,2663
CHESS,2019,"Eljanov, Pavel",83,-19.0,False,2663
CHESS,2019,"Inarkiev, Ernesto",84,-34.0,False,2663
CHESS,2019,"Kovalev, Vladislav",85,-26.0,False,2662
CHESS,2019,"Najer, Evgeniy",86,-12.0,False,2661
CHESS,2019,"Sevian, Samuel",87,14.0,True,2660
CHESS,2019,"Nyzhnyk, Illya",88,13.0,True,2660
CHESS,2019,"Mamedov, Rauf",89,-47.0,False,2659
CHESS,2019,"Morozevich, Alexander",90,6.0,False,2659
CHESS,2019,"Swiercz, Dariusz",91,10.0,True,2659
CHESS,2019,"Berkes, Ferenc",92,-5.0,False,2656
CHESS,2019,"Sasikiran, Krishnan",93,-23.0,False,2656
CHESS,2019,"Lagarde, Maxime",94,7.0,True,2655
CHESS,2019,"Adhiban, B.",95,-47.0,False,2654
CHESS,2019,"Edouard, Romain",96,5.0,True,2653
CHESS,2019,"Saric, Ivan",97,-50.0,False,2651
CHESS,2019,"Cori, Jorge",98,-45.0,False,2651
CHESS,2019,"Rublevsky, Sergei",99,1.0,False,2651
CHESS,2019,"Oparin, Grigoriy",100,1.0,True,2650
CHESS,2018,"Carlsen, Magnus",1,0.0,False,2835
CHESS,2018,"Caruana, Fabiano",2,2.0,False,2832
CHESS,2018,"Mamedyarov, Shakhriyar",3,0.0,False,2817
CHESS,2018,"Ding, Liren",4,6.0,False,2813
CHESS,2018,"Giri, Anish",5,9.0,False,2783
CHESS,2018,"Vachier-Lagrave, Maxime",6,-1.0,False,2781
CHESS,2018,"Kramnik, Vladimir",7,0.0,False,2777
CHESS,2018,"Anand, Viswanathan",8,0.0,False,2773
CHESS,2018,"Grischuk, Alexander",9,2.0,False,2771
CHESS,2018,"Aronian, Levon",10,-8.0,False,2765
CHESS,2018,"So, Wesley",11,-5.0,False,2765
CHESS,2018,"Yu, Yangyi",12,3.0,False,2764
CHESS,2018,"Nepomniachtchi, Ian",13,14.0,False,2763
CHESS,2018,"Radjabov, Teimour",14,3.0,False,2757
CHESS,2018,"Karjakin, Sergey",15,-2.0,False,2753
CHESS,2018,"Nakamura, Hikaru",16,-7.0,False,2746
CHESS,2018,"Topalov, Veselin",17,-1.0,False,2740
CHESS,2018,"Duda, Jan-Krzysztof",18,14.0,False,2738
CHESS,2018,"Svidler, Peter",19,-7.0,False,2737
CHESS,2018,"Naiditsch, Arkadij",20,23.0,False,2736
CHESS,2018,"Navara, David",21,-1.0,False,2736
CHESS,2018,"Jakovenko, Dmitry",22,3.0,False,2735
CHESS,2018,"Wojtaszek, Radoslaw",23,-1.0,False,2732
CHESS,2018,"Rapport, Richard",24,17.0,False,2732
CHESS,2018,"Wang, Hao",25,14.0,False,2730
CHESS,2018,"Wei, Yi",26,-7.0,False,2728
CHESS,2018,"Bu, Xiangzhi",27,-1.0,False,2726
CHESS,2018,"Harikrishna, Pentala",28,73.0,True,2725
CHESS,2018,"Shankland, Samuel",29,54.0,False,2724
CHESS,2018,"Vitiugov, Nikita",30,0.0,False,2719
CHESS,2018,"Fedoseev, Vladimir",31,0.0,False,2719
CHESS,2018,"Andreikin, Dmitry",32,4.0,False,2719
CHESS,2018,"Ivanchuk, Vassily",33,-5.0,False,2717
CHESS,2018,"Le, Quang Liem",34,-13.0,False,2714
CHESS,2018,"Amin, Bassem",35,20.0,False,2710
CHESS,2018,"Cheparinov, Ivan",36,2.0,False,2709
CHESS,2018,"Artemiev, Vladislav",37,12.0,False,2709
CHESS,2018,"Tomashevsky, Evgeny",38,-3.0,False,2705
CHESS,2018,"Adams, Michael",39,-6.0,False,2703
CHESS,2018,"Dubov, Daniil",40,18.0,False,2703
CHESS,2018,"Li, Chao b",41,-17.0,False,2703
CHESS,2018,"Mamedov, Rauf",42,-2.0,False,2703
CHESS,2018,"Vidit, Santosh Gujrathi",43,-9.0,False,2701
CHESS,2018,"Matlakov, Maxim",44,-21.0,False,2700
CHESS,2018,"Korobov, Anton",45,54.0,False,2698
CHESS,2018,"Howell, David W L",46,21.0,False,2696
CHESS,2018,"Saric, Ivan",47,29.0,False,2695
CHESS,2018,"Adhiban, B.",48,47.0,False,2695
CHESS,2018,"Vallejo Pons, Francisco",49,-7.0,False,2695
CHESS,2018,"Inarkiev, Ernesto",50,3.0,False,2693
CHESS,2018,"Sadler, Matthew D",51,6.0,False,2693
CHESS,2018,"Almasi, Zoltan",52,9.0,False,2689
CHESS,2018,"Cori, Jorge",53,31.0,False,2689
CHESS,2018,"Sargissian, Gabriel",54,18.0,False,2689
CHESS,2018,"Maghsoodloo, Parham",55,46.0,True,2688
CHESS,2018,"Ragger, Markus",56,32.0,False,2687
CHESS,2018,"Kryvoruchko, Yuriy",57,-3.0,False,2687
CHESS,2018,"Bacrot, Etienne",58,-29.0,False,2686
CHESS,2018,"Kovalev, Vladislav",59,42.0,True,2683
CHESS,2018,"Ni, Hua",60,15.0,False,2683
CHESS,2018,"Wang, Yue",61,-9.0,False,2683
CHESS,2018,"Nisipeanu, Liviu-Dieter",62,11.0,False,2682
CHESS,2018,"Jones, Gawain C B",63,33.0,False,2682
CHESS,2018,"Eljanov, Pavel",64,-27.0,False,2680
CHESS,2018,"Demchenko, Anton",65,20.0,False,2679
CHESS,2018,"Grandelius, Nils",66,35.0,True,2678
CHESS,2018,"Xiong, Jeffery",67,34.0,True,2676
CHESS,2018,"Laznicka, Viktor",68,33.0,True,2675
CHESS,2018,"Rodshtein, Maxim",69,-24.0,False,2675
CHESS,2018,"Sasikiran, Krishnan",70,-7.0,False,2673
CHESS,2018,"Gelfand, Boris",71,-25.0,False,2673
CHESS,2018,"Safarli, Eltaj",72,29.0,True,2671
CHESS,2018,"Melkumyan, Hrant",73,28.0,True,2670
CHESS,2018,"Najer, Evgeniy",74,-27.0,False,2670
CHESS,2018,"Dreev, Aleksey",75,23.0,False,2670
CHESS,2018,"Nabaty, Tamir",76,14.0,False,2670
CHESS,2018,"Leko, Peter",77,-27.0,False,2669
CHESS,2018,"Robson, Ray",78,23.0,True,2667
CHESS,2018,"Kamsky, Gata",79,-13.0,False,2666
CHESS,2018,"Bruzon Batista, Lazaro",80,-10.0,False,2664
CHESS,2018,"McShane, Luke J",81,20.0,True,2664
CHESS,2018,"Guseinov, Gadir",82,19.0,True,2664
CHESS,2018,"Sethuraman, S.P.",83,18.0,True,2664
CHESS,2018,"Sjugirov, Sanan",84,17.0,True,2663
CHESS,2018,"Ponomariov, Ruslan",85,-37.0,False,2663
CHESS,2018,"Hou, Yifan",86,-22.0,False,2662
CHESS,2018,"Berkes, Ferenc",87,0.0,False,2662
CHESS,2018,"Salem, A.R. Saleh",88,13.0,True,2660
CHESS,2018,"Lenic, Luka",89,5.0,False,2659
CHESS,2018,"Kasimdzhanov, Rustam",90,-31.0,False,2659
CHESS,2018,"Malakhov, Vladimir",91,-35.0,False,2658
CHESS,2018,"Van Kampen, Robin",92,9.0,True,2658
CHESS,2018,"Kovalenko, Igor",93,8.0,True,2657
CHESS,2018,"Areshchenko, Alexander",94,7.0,True,2656
CHESS,2018,"Mareco, Sandro",95,6.0,True,2656
CHESS,2018,"Morozevich, Alexander",96,-15.0,False,2656
CHESS,2018,"Kuzubov, Yuriy",97,-53.0,False,2655
CHESS,2018,"Rausis, Igors",98,3.0,True,2655
CHESS,2018,"Hammer, Jon Ludvig",99,2.0,True,2652
CHESS,2018,"Rublevsky, Sergei",100,-40.0,False,2652
CHESS,2017,"Carlsen, Magnus",1,0.0,False,2837
CHESS,2017,"Aronian, Levon",2,5.0,False,2805
CHESS,2017,"Mamedyarov, Shakhriyar",3,9.0,False,2799
CHESS,2017,"Caruana, Fabiano",4,-2.0,False,2799
CHESS,2017,"Vachier-Lagrave, Maxime",5,-1.0,False,2789
CHESS,2017,"So, Wesley",6,-1.0,False,2788
CHESS,2017,"Kramnik, Vladimir",7,-4.0,False,2787
CHESS,2017,"Anand, Viswanathan",8,0.0,False,2782
CHESS,2017,"Nakamura, Hikaru",9,0.0,False,2781
CHESS,2017,"Ding, Liren",10,6.0,False,2777
CHESS,2017,"Grischuk, Alexander",11,12.0,False,2772
CHESS,2017,"Svidler, Peter",12,5.0,False,2765
